# Z  symbol            a[0..4]                                  b[0..4]
 73  Ta  +4.19726001319641995e+00 +1.46854806774708790e+00 +7.83931248211088172e-01 +2.32494094864395089e-02 +1.11261358607286001e-04  +6.93674024894457197e+00 +1.01725276618348293e+00 +2.38948939715070613e-01 +1.62332433075381005e-02 +4.90239004021149035e-04
 74   W  +3.97629715819077401e+00 +1.52292684257341793e+00 +7.97706246390561313e-01 +2.13666741558685216e-02 +1.03078689385717299e-04  +6.29685779228774933e+00 +1.11289951157691092e+00 +2.31057040678473408e-01 +1.51013545567204501e-02 +4.74682477105025822e-04
 75  Re  +3.75144381439811880e+00 +1.62768802977632698e+00 +7.81756755454271812e-01 +1.95170803912291593e-02 +9.43199804293427493e-05  +5.79754636082953834e+00 +1.18223631077710700e+00 +2.19913586024770208e-01 +1.39810455481456600e-02 +4.59127125829838611e-04
 76  Os  +3.48401517338711608e+00 +1.79377920416965497e+00 +7.44878356691920263e-01 +1.75427785162434492e-02 +8.44872351568859946e-05  +5.43998846080953680e+00 +1.22792134140128106e+00 +2.06208856992909195e-01 +1.27899401721146000e-02 +4.43032226787478604e-04
 77  Ir  +1.59956578198844190e+00 +2.97534452194120513e+00 +6.95092678366882155e-01 +1.48779627458688005e-02 +6.90549579101583329e-05  +5.79244447385567529e+00 +1.55300982973226009e+00 +1.88626335936648210e-01 +1.11763470662453301e-02 +4.22772361655551396e-04
 78  Pt  +2.04021563975728304e+00 +2.89922634624825504e+00 +6.36344083815797656e-01 +1.32071919595408305e-02 +5.67382192500131215e-05  +6.65819429609627544e+00 +1.41337923778932395e+00 +1.74000104502179009e-01 +1.00687804530210506e-02 +4.03077105692223098e-04
 79  Au  +1.67593467064870794e+00 +3.00486602969729288e+00 +5.95340013161635540e-01 +1.17163186623094797e-02 +4.29678297639817105e-05  +5.52231093211402513e+00 +1.38007223007196300e+00 +1.62229237655945407e-01 +9.01814890416575629e-03 +3.79277667477667126e-04
 80  Hg  +2.23522850443105314e+00 +2.68276638651994892e+00 +5.55194926212433271e-01 +1.07273354366258702e-02 +3.28473992046262911e-05  +5.02030988960240343e+00 +1.23077590583777696e+00 +1.52248122992863610e-01 +8.28399116906210382e-03 +3.56241938931758874e-04
 81  Tl  +2.80342737412509990e+00 +2.71882787966019990e+00 +5.22475915391999557e-01 +9.84537836971042038e-03 +2.34524526508316207e-05  +6.55876872804534194e+00 +1.16972422516667907e+00 +1.43556691800178104e-01 +7.61976526230039811e-03 +3.29627673902985424e-04
 82  Pb  +3.60861020997771398e+00 +2.45056774737198291e+00 +4.78639500107256977e-01 +8.87214235169215236e-03 +1.04001932909467304e-05  +6.58162594621962782e+00 +1.02772852660588510e+00 +1.33533680634720903e-01 +6.84861238948429769e-03 +2.76388875456666007e-04
 83  Bi  +4.24209901057315886e+00 +2.09994342055827898e+00 +4.32836631379922898e-01 +8.02021570381059208e-03 +7.21785030851340352e-07  +5.75280115536079961e+00 +8.73901489195461512e-01 +1.23599956180524703e-01 +6.17600333058570226e-03 +1.41495177617230900e-04
 84  Po  +4.63620095668962318e+00 +1.78063311426987103e+00 +4.03730443952738494e-01 +7.68539554668674040e-03 +8.95415902807643603e-08  +4.88825299780982903e+00 +7.56310526880074718e-01 +1.17302364452249203e-01 +5.93034394242894242e-03 +7.66668663873028706e-05
