# Z  symbol            a[0..4]                                  b[0..4]
 68  Er  +4.08768379999999976e+00 +1.63697705000000004e+00 +1.23551553000000003e+00 +4.81472813999999985e-02 +1.76336857999999987e-04  +1.24926768999999993e+01 +1.65328746999999998e+00 +3.88200727000000023e-01 +2.82199215000000017e-02 +5.80441416999999968e-04
 69  Tm  +4.07429976999999965e+00 +1.54903556000000009e+00 +1.20786024000000003e+00 +4.66301506000000032e-02 +1.74268303999999997e-04  +1.18968296999999996e+01 +1.51812225999999995e+00 +3.73146222999999999e-01 +2.74784713999999992e-02 +5.64110906999999999e-04
 70  Yb  +3.99449178000000016e+00 +1.39650396999999993e+00 +1.23619418000000003e+00 +4.61376501999999980e-02 +1.72416401999999990e-04  +1.10489010000000007e+01 +1.41920965999999993e+00 +3.70806381000000018e-01 +2.70164412999999992e-02 +5.48513562999999957e-04
 71  Lu  +4.04253368000000002e+00 +1.26831669999999996e+00 +1.29077116000000003e+00 +4.47081511000000029e-02 +1.70308667000000001e-04  +9.27046046999999973e+00 +1.60132626999999994e+00 +3.63442451000000000e-01 +2.63252193999999988e-02 +5.33487528999999970e-04
 72  Hf  +3.98468268000000014e+00 +1.25852440999999993e+00 +1.23648596000000000e+00 +4.26398487999999978e-02 +1.67102801999999994e-04  +8.03007698000000048e+00 +1.58472714000000003e+00 +3.43458034000000023e-01 +2.53758047000000007e-02 +5.18834329000000013e-04
 73  Ta  +4.81790189999999985e+00 +1.51971743999999997e+00 +7.47307925000000040e-02 -4.35878264000000015e-02 +2.37692599000000006e-04  +5.42640027000000025e+00 +3.62494003999999981e-01 +1.26950167000000006e-02 +9.83530397000000056e-03 +5.24105725000000001e-04
 74   W  +4.77443720000000038e+00 +1.43590252999999990e+00 +6.96777952000000034e-02 -4.02531666000000010e-02 +2.35646948000000007e-04  +4.83090259999999994e+00 +3.41568285999999999e-01 +1.20622482999999999e-02 +9.26330172999999951e-03 +5.11024212000000025e-04
 75  Re  +4.76668652000000037e+00 +1.33842759000000000e+00 +4.36569657000000014e-02 -1.75326067999999995e-02 +2.61531947000000025e-04  +4.30667735000000018e+00 +3.16430407999999996e-01 +1.13942464000000004e-02 +6.99706055999999976e-03 +5.05147088000000035e-04
 76  Os  +4.67600031000000005e+00 +1.27334487000000007e+00 +5.40935558999999996e-02 -2.76796402999999989e-02 +2.40905088999999995e-04  +3.86555718000000015e+00 +3.02899305000000008e-01 +1.10843018999999994e-02 +7.88228625000000037e-03 +4.87908251999999974e-04
 77  Ir  +4.61762323000000041e+00 +1.17697644000000001e+00 +4.22191064999999990e-02 -1.80842725999999995e-02 +2.65503753000000022e-04  +3.41244281999999988e+00 +2.80861538999999993e-01 +1.04130714999999992e-02 +6.50969251999999974e-03 +4.81489370000000023e-04
 78  Pt  +4.29757559000000011e+00 +1.08237607999999996e+00 +3.99737848000000021e-02 -1.66938436000000009e-02 +2.68389965000000001e-04  +2.80636689000000006e+00 +2.63181274999999992e-01 +1.00751990000000000e-02 +6.14975534000000018e-03 +4.70625596000000018e-04
 79  Au  +4.31925307000000025e+00 +9.36140798000000052e-01 +7.58803091000000013e-02 -5.50376155999999991e-02 +2.63438531999999996e-04  +2.43080463999999985e+00 +2.32607376000000005e-01 +8.25708420999999963e-03 +6.87768479999999963e-03 +4.58771745000000021e-04
 80  Hg  +1.68576269999999995e+00 +3.04886882000000004e+00 +7.02976398999999974e-01 +2.32670032999999984e-02 +1.25079534000000007e-04  +5.69944385999999970e+00 +1.53805140000000007e+00 +1.93465002999999997e-01 +1.60802679000000004e-02 +4.16705885999999999e-04
 81  Tl  +2.82897837000000019e+00 +2.88192506999999987e+00 +6.29842268999999955e-01 +2.11360036000000015e-02 +1.18283285000000005e-04  +8.51383017999999936e+00 +1.33294874999999990e+00 +1.77246735999999988e-01 +1.49380072000000006e-02 +4.05404006000000027e-04
 82  Pb  +3.41034085999999981e+00 +2.48728872000000001e+00 +6.02493257000000004e-01 +1.97656740999999983e-02 +1.11488416000000005e-04  +6.73824703000000014e+00 +1.18522138999999993e+00 +1.69430605000000012e-01 +1.40490249000000001e-02 +3.94450164000000015e-04
 83  Bi  +3.88891929000000003e+00 +2.01098545000000017e+00 +5.91087608000000042e-01 +1.89016743999999987e-02 +1.05980026000000003e-04  +5.18482301999999962e+00 +1.04231673000000002e+00 +1.65142347999999994e-01 +1.33920900000000006e-02 +3.84113570999999995e-04
